s,i,w,g,f
1,1,Теперь,8,advmod
1,2,когда,8,mark
1,3,соперничая,6,acl
1,4,с,5,case
1,5,тучей,3,obl
1,6,плоды,8,obj
1,7,мы,8,nsubj
1,8,вызвали,47,root
1,9,вас,8,obj
1,10,к,11,case
1,11,жизни,8,obl
1,12,наилучшей,16,amod
1,13,чтобы,16,mark
1,14,самих,16,amod
1,15,себя,16,nmod
1,16,переборов,19,obl
1,17,вы,19,nsubj
1,18,не,19,advmod
1,19,боялись,0,root
1,20,северных,21,amod
1,21,ветров,19,obl
1,22,чтоб,26,mark
1,23,зерна,26,nsubj
1,24,в,25,case
1,25,вас,23,nmod
1,26,окрепли,19,advcl
1,27,и,28,cc
1,28,созрели,26,conj
1,29,чтоб,45,mark
1,30,дивно,31,advmod
1,31,увеличиваясь,45,acl
1,32,в,33,case
1,33,теле,31,obl
1,34,не,35,advmod
1,35,знали,19,advcl
1,36,вы,35,nsubj
1,37,в,38,case
1,38,развитии,35,obl
1,39,преград,35,obl
1,40,чтоб,45,mark
1,41,наша,42,det
1,42,жизнь,45,nsubj
1,43,была,45,cop
1,44,сплошной,45,amod
1,45,плодовый,46,amod
1,46,сад,35,nsubj
1,47,скажите,19,conj
1,48,мне,47,iobj
1,49,какой,51,det
1,50,чудесный,51,amod
1,51,клад,52,obj
1,52,несете,47,ccomp
1,53,вы,52,nsubj
1,54,поведать,52,xcomp
1,55,человеку,54,iobj
1,56,?,47,punct
